Date,Actual Movement,Predicted Movement
2014-01-21,Fall,Rise
2014-01-22,Fall,Rise
2014-01-23,Fall,Rise
2014-01-24,Rise,Rise
2014-01-27,Fall,Rise
2014-01-28,Rise,Fall
2014-01-29,Rise,Rise
2014-01-30,Fall,Fall
2014-01-31,Rise,Rise
2014-02-03,Rise,Rise
2014-02-04,Fall,Rise
2014-02-05,Fall,Rise
2014-02-06,Rise,Fall
2014-02-07,Fall,Rise
2014-02-10,Rise,Rise
2014-02-11,Fall,Rise
2014-02-12,Rise,Fall
2014-02-13,Fall,Fall
2014-02-14,Rise,Fall
2014-02-18,Fall,Rise
2014-02-19,Rise,Rise
2014-02-20,Rise,Fall
2014-02-21,Rise,Rise
2014-02-24,Fall,Rise
2014-02-25,Rise,Rise
2014-02-26,Rise,Rise
2014-02-27,Fall,Fall
2014-02-28,Rise,Rise
2014-03-03,Rise,Rise
2014-03-04,Fall,Fall
2014-03-05,Fall,Fall
2014-03-06,Fall,Fall
2014-03-07,Rise,Rise
2014-03-10,Rise,Rise
2014-03-11,Fall,Rise
2014-03-12,Fall,Rise
2014-03-13,Fall,Rise
2014-03-14,Rise,Fall
2014-03-17,Fall,Rise
2014-03-18,Fall,Rise
2014-03-19,Fall,Fall
2014-03-20,Rise,Rise
2014-03-21,Rise,Rise
2014-03-24,Fall,Rise
2014-03-25,Fall,Rise
2014-03-26,Rise,Fall
2014-03-27,Rise,Rise
2014-03-28,Rise,Fall
2014-03-31,Rise,Fall
2014-04-01,Fall,Rise
2014-04-02,Fall,Rise
2014-04-03,Fall,Fall
2014-04-04,Fall,Rise
2014-04-07,Rise,Fall
2014-04-08,Rise,Fall
2014-04-09,Fall,Rise
2014-04-10,Rise,Rise
2014-04-11,Rise,Rise
2014-04-14,Fall,Rise
2014-04-15,Rise,Fall
2014-04-16,Rise,Rise
2014-04-17,Fall,Rise
2014-04-21,Fall,Rise
2014-04-22,Fall,Fall
2014-04-23,Rise,Fall
2014-04-24,Fall,Rise
2014-04-25,Rise,Rise
2014-04-28,Fall,Fall
2014-04-29,Rise,Fall
2014-04-30,Fall,Fall
2014-05-01,Rise,Rise
2014-05-02,Fall,Rise
2014-05-05,Fall,Rise
2014-05-06,Fall,Rise
2014-05-07,Rise,Fall
2014-05-08,Fall,Rise
2014-05-09,Rise,Fall
2014-05-12,Fall,Rise
2014-05-13,Rise,Fall
2014-05-14,Fall,Fall
2014-05-15,Rise,Fall
2014-05-16,Rise,Rise
2014-05-19,Fall,Rise
2014-05-20,Rise,Fall
2014-05-21,Rise,Fall
2014-05-22,Rise,Fall
2014-05-23,Rise,Rise
2014-05-27,Fall,Rise
2014-05-28,Rise,Fall
2014-05-29,Fall,Rise
2014-05-30,Fall,Fall
2014-06-02,Rise,Rise
2014-06-03,Fall,Rise
2014-06-04,Fall,Rise
2014-06-05,Fall,Rise
2014-06-06,Fall,Fall
2014-06-09,Rise,Fall
2014-06-10,Fall,Fall
2014-06-11,Fall,Rise
2014-06-12,Rise,Fall
2014-06-13,Rise,Rise
2014-06-16,Fall,Rise
2014-06-17,Fall,Fall
2014-06-18,Fall,Fall
2014-06-19,Fall,Fall
2014-06-20,Rise,Rise
2014-06-23,Fall,Fall
2014-06-24,Rise,Fall
2014-06-25,Rise,Fall
2014-06-26,Rise,Fall
2014-06-27,Rise,Rise
2014-06-30,Rise,Rise
2014-07-01,Fall,Fall
2014-07-02,Rise,Fall
2014-07-03,Rise,Fall
2014-07-07,Fall,Rise
2014-07-08,Rise,Rise
2014-07-09,Fall,Rise
2014-07-10,Rise,Fall
2014-07-11,Rise,Fall
2014-07-14,Fall,Rise
2014-07-15,Rise,Rise
2014-07-16,Fall,Fall
2014-07-17,Rise,Fall
2014-07-18,Fall,Rise
2014-07-21,Rise,Fall
2014-07-22,Rise,Fall
2014-07-23,Fall,Rise
2014-07-24,Rise,Fall
2014-07-25,Rise,Fall
2014-07-28,Fall,Rise
2014-07-29,Rise,Rise
2014-07-30,Fall,Fall
2014-07-31,Rise,Rise
2014-08-01,Fall,Rise
2014-08-04,Fall,Rise
2014-08-05,Rise,Fall
2014-08-06,Fall,Fall
2014-08-07,Fall,Fall
